排序组,舆情场景,场景代码,方法,参数名,参数值,干预概率,重复次数,初始极化率,无干预最终极化率,干预后最终极化率,极化率降低量,观点均值_初始,观点均值_无干预,观点均值_干预后,观点标准差_初始,观点标准差_无干预,观点标准差_干预后,干预接受率
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.1,10,84.2%,92.0%,81.2%,10.8%,0.9070,0.8308,0.7132,0.1063,0.2063,0.2721,41.4%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.2,10,84.2%,92.0%,71.4%,20.6%,0.9070,0.8308,0.6432,0.1063,0.2063,0.2919,40.1%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.3,10,84.2%,92.0%,64.6%,27.4%,0.9070,0.8308,0.5883,0.1063,0.2063,0.3025,40.4%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.4,10,84.2%,92.0%,58.4%,33.6%,0.9070,0.8308,0.5670,0.1063,0.2063,0.2952,41.5%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.5,10,84.2%,92.0%,49.0%,43.0%,0.9070,0.8308,0.5306,0.1063,0.2063,0.2836,43.5%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.6,10,84.2%,92.0%,41.4%,50.6%,0.9070,0.8308,0.5159,0.1063,0.2063,0.2762,44.4%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.7,10,84.2%,92.0%,31.6%,60.4%,0.9070,0.8308,0.5183,0.1063,0.2063,0.2585,45.7%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.8,10,84.2%,92.0%,25.0%,67.0%,0.9070,0.8308,0.5224,0.1063,0.2063,0.2426,46.7%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,20,0.9,10,84.2%,92.0%,22.8%,69.2%,0.9070,0.8308,0.5446,0.1063,0.2063,0.2400,46.2%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.1,10,84.2%,92.0%,83.8%,8.2%,0.9070,0.8308,0.7403,0.1063,0.2063,0.2626,43.4%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.2,10,84.2%,92.0%,77.2%,14.8%,0.9070,0.8308,0.6839,0.1063,0.2063,0.2872,41.1%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.3,10,84.2%,92.0%,69.8%,22.2%,0.9070,0.8308,0.6523,0.1063,0.2063,0.2877,39.8%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.4,10,84.2%,92.0%,64.6%,27.4%,0.9070,0.8308,0.6185,0.1063,0.2063,0.2913,40.0%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.5,10,84.2%,92.0%,57.8%,34.2%,0.9070,0.8308,0.5821,0.1063,0.2063,0.2918,41.3%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.6,10,84.2%,92.0%,51.6%,40.4%,0.9070,0.8308,0.5612,0.1063,0.2063,0.2883,42.4%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.7,10,84.2%,92.0%,42.0%,50.0%,0.9070,0.8308,0.5415,0.1063,0.2063,0.2728,44.0%
HotRank,饭圈控评(J型),fan_circle,scarcity,K,30,0.8,10,84.2%,92.0%,36.6%,55.4%,0.9070,0.8308,0.5259,0.1063,0.2063,0.2672,45.1%
